ARGUMENT PATH	CLASSIFIED SENTIMENT VALUE
data/corpus-counterarguments-18/02-extracted-arguments/training/environment/climate-energy-house-would-invest-renewable-technologies-rather-nuclear-power/con/con01a-point.txt	0.143517
data/corpus-counterarguments-18/02-extracted-arguments/training/environment/climate-energy-house-would-invest-renewable-technologies-rather-nuclear-power/con/con01b-counter.txt	0.656988
data/corpus-counterarguments-18/02-extracted-arguments/training/environment/climate-energy-house-would-invest-renewable-technologies-rather-nuclear-power/con/con02a-point.txt	0.598852
data/corpus-counterarguments-18/02-extracted-arguments/training/environment/climate-energy-house-would-invest-renewable-technologies-rather-nuclear-power/con/con02b-counter.txt	0.904889
data/corpus-counterarguments-18/02-extracted-arguments/training/environment/climate-energy-house-would-invest-renewable-technologies-rather-nuclear-power/con/con03a-point.txt	0.968172
data/corpus-counterarguments-18/02-extracted-arguments/training/environment/climate-energy-house-would-invest-renewable-technologies-rather-nuclear-power/con/con03b-counter.txt	0.74015
data/corpus-counterarguments-18/02-extracted-arguments/training/environment/climate-energy-house-would-invest-renewable-technologies-rather-nuclear-power/pro/pro01a-point.txt	0.382779
data/corpus-counterarguments-18/02-extracted-arguments/training/environment/climate-energy-house-would-invest-renewable-technologies-rather-nuclear-power/pro/pro01b-counter.txt	0.403428
data/corpus-counterarguments-18/02-extracted-arguments/training/environment/climate-energy-house-would-invest-renewable-technologies-rather-nuclear-power/pro/pro02a-point.txt	0.617805
data/corpus-counterarguments-18/02-extracted-arguments/training/environment/climate-energy-house-would-invest-renewable-technologies-rather-nuclear-power/pro/pro02b-counter.txt	0.983585
data/corpus-counterarguments-18/02-extracted-arguments/training/environment/climate-energy-house-would-invest-renewable-technologies-rather-nuclear-power/pro/pro03a-point.txt	0.703938
data/corpus-counterarguments-18/02-extracted-arguments/training/environment/climate-energy-house-would-invest-renewable-technologies-rather-nuclear-power/pro/pro03b-counter.txt	0.712293
