x,y,stance,file_path
-319.83597,-180.83212,PRO,media-television-health-weight-house-would-ban-promotion-diets
-355.61722,61.762962,PRO,media-television-health-weight-house-would-ban-promotion-diets
-519.0178,-113.677376,PRO,media-television-health-weight-house-would-ban-promotion-diets
138.70848,-484.414,PRO,media-television-health-weight-house-would-ban-promotion-diets
481.98383,-327.0236,PRO,media-television-health-weight-house-would-ban-promotion-diets
-22.802528,-243.73517,PRO,media-television-health-weight-house-would-ban-promotion-diets
-47.908722,662.2439,CON,media-television-health-weight-house-would-ban-promotion-diets
-68.46673,235.31747,CON,media-television-health-weight-house-would-ban-promotion-diets
-169.1297,411.90506,CON,media-television-health-weight-house-would-ban-promotion-diets
263.98004,247.25125,CON,media-television-health-weight-house-would-ban-promotion-diets
403.04794,-77.01184,CON,media-television-health-weight-house-would-ban-promotion-diets
244.1033,35.909492,CON,media-television-health-weight-house-would-ban-promotion-diets
