x,y,stance,file_path
-41.939682,34.982338,PRO,media-religion-religions-thb-danish-newspapers-should-not-have-published-cartoons
-109.50361,165.19437,PRO,media-religion-religions-thb-danish-newspapers-should-not-have-published-cartoons
59.814796,176.85017,PRO,media-religion-religions-thb-danish-newspapers-should-not-have-published-cartoons
10.110245,-148.24652,PRO,media-religion-religions-thb-danish-newspapers-should-not-have-published-cartoons
215.76685,-204.89586,PRO,media-religion-religions-thb-danish-newspapers-should-not-have-published-cartoons
218.03682,-470.47992,PRO,media-religion-religions-thb-danish-newspapers-should-not-have-published-cartoons
-343.53857,477.6386,PRO,media-religion-religions-thb-danish-newspapers-should-not-have-published-cartoons
-108.078476,502.6306,PRO,media-religion-religions-thb-danish-newspapers-should-not-have-published-cartoons
-133.81323,-2.4412892,CON,media-religion-religions-thb-danish-newspapers-should-not-have-published-cartoons
-286.41895,90.542274,CON,media-religion-religions-thb-danish-newspapers-should-not-have-published-cartoons
7.2014503,286.53848,CON,media-religion-religions-thb-danish-newspapers-should-not-have-published-cartoons
355.25458,-23.69593,CON,media-religion-religions-thb-danish-newspapers-should-not-have-published-cartoons
133.63612,-51.028378,CON,media-religion-religions-thb-danish-newspapers-should-not-have-published-cartoons
233.2413,-337.11942,CON,media-religion-religions-thb-danish-newspapers-should-not-have-published-cartoons
-402.1305,388.21332,CON,media-religion-religions-thb-danish-newspapers-should-not-have-published-cartoons
-12.426432,413.55243,CON,media-religion-religions-thb-danish-newspapers-should-not-have-published-cartoons
